Hostname, Product, Version, Instance Id, Region,Root Snapshot,Root Encryption, Non Root Snapshot,Non Root Encryption
 drodriguespra.beyondtrustcloud.com,bpam,6.0.1,i-00dd99cb89281d690,sa-east-1,snap-06b3c1ea79334c65f,True,snap-08490d8e923c30dd9,True
 afip.beyondtrustcloud.com,bpam,6.0.1,i-033a40d68c0bb8c5a,sa-east-1,snap-0120cc2b9f83a42e0,True,snap-0500ba9c19af3f3ee,True
 sodimac.beyondtrustcloud.com,bpam,6.0.1,i-0c81033c781d6fe26,sa-east-1,snap-09568a05543035634,True,snap-00c2deed4aa1e01d5,True
 c45691-BR-E-1.beyondtrustcloud.com,bpam,6.0.1,i-0d4fa3a85821e239a,sa-east-1,snap-05030b5e71a6faa1d,True,snap-0b36e688908377bac,True
 scitum.beyondtrustcloud.com,bpam,6.0.1,i-00a9330e4a7b55944,sa-east-1,snap-04e4a0391b7b8deb3,True,snap-070fdab5bffa663ca,True
 dpworld.beyondtrustcloud.com,bpam,6.0.1,i-004f96852791c2dde,sa-east-1,snap-0713d54720f4504ac,True,snap-03f48cfa7468bbbda,True
 cmpcit.beyondtrustcloud.com,bpam,6.0.1,i-0d566722525a7ea8f,sa-east-1,snap-0970bc773e1fb7ed3,True,snap-015dd3a82286c537b,True
 ciser.beyondtrustcloud.com,bpam,6.0.1,i-016de2e3f00fe15bf,sa-east-1,snap-05f92b72150034e9a,True,snap-0f1e0844bdfb6d259,True
 brasilcap.beyondtrustcloud.com,bpam,6.0.1,i-0cda08d6d9b73d578,sa-east-1,snap-0b300c852829e0762,True,snap-0841fe2b2509b0834,True
 suzano.beyondtrustcloud.com,bpam,5.4.0,i-0a54e40597f77f8ec,sa-east-1,snap-099cc99b81769de19,True,snap-090689c96855f5c0a,True
 roliveirapra.beyondtrustcloud.com,bpam,6.0.1,i-0f16e7ffe98002abd,sa-east-1,snap-0d8f59c748559e631,True,snap-0c1aff77438cebb5c,True
 arua2-lab.beyondtrustcloud.com,bpam,6.0.1,i-02427a7851f472a47,sa-east-1,snap-01aedc1559b04283b,True,snap-09dd22185bdaeb194,True
 unimedflorianopolis.beyondtrustcloud.com,bpam,6.0.1,i-0251380da7112bc37,sa-east-1,snap-08e04c623d72df1eb,True,snap-010897314de3ac6af,True
 codelco.beyondtrustcloud.com,bpam,6.0.1,i-01a8164f860e33959,sa-east-1,snap-0e79ab80a15fe6079,True,snap-0a4bbdc7b42efa713,True
 tirolez.beyondtrustcloud.com,bpam,5.4.0,i-0aa3bd0cfb4b1444b,sa-east-1,snap-08638737223c5721d,True,snap-0126592f4df8e5a3a,True
 klabinsa.beyondtrustcloud.com,bpam,5.4.0,i-0cab52b448e204cf9,sa-east-1,snap-01220528fdc24466c,True,snap-074c6b443aa2467cb,True
 grupohitec.beyondtrustcloud.com,bpam,5.4.0,i-0464a0f90f197a041,sa-east-1,snap-0ea1f483616cb53f6,True,snap-06c4b721e6db5e612,True
 ueno.beyondtrustcloud.com,bpam,6.0.1,i-01f00fdcf532f2844,sa-east-1,snap-07a036e683a29cf55,True,snap-0c927b6cde2ff1af2,True
 naranja.beyondtrustcloud.com,bpam,6.0.1,i-085e7d779f99f0047,sa-east-1,snap-0e71971f6d56a988d,True,snap-0e3745d615277dc99,True
 dellys.beyondtrustcloud.com,bpam,6.0.1,i-0dc21f5de87ab5bb8,sa-east-1,snap-02ff60c2785c75b68,True,snap-0ee1c2bfe9bceb2fd,True
 bantrab.beyondtrustcloud.com,bpam,5.4.0,i-06ae26566b44ae1dd,sa-east-1,snap-0378a67a90a399bf4,True,snap-060f4fea88d0cca71,True
 bpd.beyondtrustcloud.com,bpam,6.0.1,i-03da9f48bb3032f74,sa-east-1,snap-0d778919d8324bc3e,True,snap-04b0310206decfc0d,True
